24,10,26,2,0,0,5,0,0,4,0,1,0,2,0,0,0,0,0,0,0,0,1
13,27,0,0,15,0,0,0,0,1,0,3,5,0,0,0,0,2,2,0,0,0,0
0,0,15,15,0,0,5,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
10,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,1,0,6,0,0,0,0,2,2,0,0,0,0,0,0
4,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,6,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
4,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
