33,34,3,9,13,0,0,2,0,0,4,0,0,2,0,0,0,0,0,0,0,0,1,0
24,5,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0
27,3,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,14,0,2,0,1,0,5,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
10,7,2,0,0,3,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,1,10,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,1,0,0,4,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0
5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
