0,4,6,7,0,1,3,0,0,0,5,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0
0,0,5,4,4,0,0,0,0,0,0,3,4,0,3,0,0,0,0,1,0,0,0,1,0,0
1,9,1,1,0,0,1,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,5,2,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,1,3,0,1,5,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0
3,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
